openrouter_id,aa_slug
allenai/olmo-3-32b-think,olmo-3-32b-think
anthropic/claude-3-haiku,claude-3-haiku
anthropic/claude-3.5-haiku,claude-3-5-haiku
anthropic/claude-opus-4.5,claude-opus-4-5
anthropic/claude-opus-4.6,claude-opus-4-6
anthropic/claude-opus-4.7,claude-opus-4-7
anthropic/claude-sonnet-4.6,claude-sonnet-4-6
arcee-ai/trinity-large-thinking,trinity-large-thinking
baidu/ernie-4.5-300b-a47b,ernie-4-5-300b-a47b
cohere/command-a,command-a
deepseek/deepseek-chat,deepseek-v3
deepseek/deepseek-chat-v3-0324,deepseek-v3-0324
deepseek/deepseek-chat-v3.1,deepseek-v3-1
deepseek/deepseek-v3.1-terminus,deepseek-v3-1-terminus
deepseek/deepseek-v3.2,deepseek-v3-2
deepseek/deepseek-v3.2-speciale,deepseek-v3-2-speciale
deepseek/deepseek-v4-flash,deepseek-v4-flash
deepseek/deepseek-v4-pro,deepseek-v4-pro
google/gemini-2.0-flash-001,gemini-2-0-flash
google/gemini-2.5-flash,gemini-2-5-flash
google/gemini-2.5-flash-lite,gemini-2-5-flash-lite
google/gemini-2.5-flash-lite-preview-09-2025,gemini-2-5-flash-lite-preview-09-2025
google/gemini-2.5-pro,gemini-2-5-pro
google/gemini-3.1-flash-lite-preview,gemini-3-1-flash-lite-preview
google/gemini-3.1-pro-preview,gemini-3-1-pro-preview
google/gemini-3.5-flash,gemini-3-5-flash
google/gemma-3-12b-it,gemma-3-12b
google/gemma-3-27b-it,gemma-3-27b
google/gemma-3-4b-it,gemma-3-4b
google/gemma-4-26b-a4b-it,gemma-4-26b-a4b
google/gemma-4-31b-it,gemma-4-31b
ibm-granite/granite-4.0-h-micro,granite-4-0-micro
ibm-granite/granite-4.1-8b,granite-4-1-8b
inception/mercury-2,mercury-2
inclusionai/ling-2.6-1t,ling-2-6-1t
inclusionai/ling-2.6-flash,ling-2-6-flash
inclusionai/ring-2.6-1t,ring-2-6-1t
kwaipilot/kat-coder-pro-v2,kat-coder-pro-v2
liquid/lfm-2-24b-a2b,lfm2-24b-a2b
meta-llama/llama-4-maverick,llama-4-maverick
meta-llama/llama-4-scout,llama-4-scout
microsoft/phi-4,phi-4
minimax/minimax-m2,minimax-m2
minimax/minimax-m2.1,minimax-m2-1
minimax/minimax-m2.5,minimax-m2-5
minimax/minimax-m2.7,minimax-m2-7
mistralai/devstral-medium,devstral-medium
mistralai/mistral-large,mistral-large
mistralai/mistral-large-2407,mistral-large-2407
mistralai/mistral-medium-3,mistral-medium-3
mistralai/mistral-medium-3-5,mistral-medium-3-5
mistralai/mistral-medium-3.1,mistral-medium-3-1
mistralai/mistral-small-24b-instruct-2501,mistral-small-3
mistralai/mistral-small-2603,mistral-small-4
mistralai/pixtral-large-2411,pixtral-large-2411
moonshotai/kimi-k2-0905,kimi-k2-0905
moonshotai/kimi-k2-thinking,kimi-k2-thinking
moonshotai/kimi-k2.5,kimi-k2-5
moonshotai/kimi-k2.6,kimi-k2-6
openai/gpt-3.5-turbo,gpt-35-turbo
openai/gpt-4,gpt-4
openai/gpt-4-turbo,gpt-4-turbo
openai/gpt-4.1,gpt-4-1
openai/gpt-4.1-mini,gpt-4-1-mini
openai/gpt-4.1-nano,gpt-4-1-nano
openai/gpt-4o,gpt-4o
openai/gpt-4o-2024-05-13,gpt-4o-2024-05-13
openai/gpt-4o-2024-08-06,gpt-4o-2024-08-06
openai/gpt-4o-mini,gpt-4o-mini
openai/gpt-5,gpt-5
openai/gpt-5-codex,gpt-5-codex
openai/gpt-5-mini,gpt-5-mini
openai/gpt-5-nano,gpt-5-nano
openai/gpt-5.1,gpt-5-1
openai/gpt-5.1-codex,gpt-5-1-codex
openai/gpt-5.1-codex-mini,gpt-5-1-codex-mini
openai/gpt-5.2,gpt-5-2
openai/gpt-5.2-codex,gpt-5-2-codex
openai/gpt-5.3-codex,gpt-5-3-codex
openai/gpt-5.4,gpt-5-4
openai/gpt-5.4-mini,gpt-5-4-mini
openai/gpt-5.4-nano,gpt-5-4-nano
openai/gpt-5.5,gpt-5-5
openai/gpt-oss-120b,gpt-oss-120b
openai/gpt-oss-20b,gpt-oss-20b
openai/o1,o1
openai/o1-pro,o1-pro
openai/o3,o3
openai/o3-mini,o3-mini
openai/o3-mini-high,o3-mini-high
openai/o3-pro,o3-pro
openai/o4-mini,o4-mini
perplexity/sonar,sonar
perplexity/sonar-pro,sonar-pro
perplexity/sonar-reasoning-pro,sonar-reasoning-pro
prime-intellect/intellect-3,intellect-3
qwen/qwen-2.5-72b-instruct,qwen2-5-72b-instruct
qwen/qwen-2.5-coder-32b-instruct,qwen2-5-coder-32b-instruct
qwen/qwen3-235b-a22b-2507,qwen3-235b-a22b-instruct-2507
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct
qwen/qwen3-coder-next,qwen3-coder-next
qwen/qwen3-max,qwen3-max
qwen/qwen3-max-thinking,qwen3-max-thinking
qwen/qwen3-next-80b-a3b-instruct,qwen3-next-80b-a3b-instruct
qwen/qwen3-vl-235b-a22b-instruct,qwen3-vl-235b-a22b-instruct
qwen/qwen3-vl-30b-a3b-instruct,qwen3-vl-30b-a3b-instruct
qwen/qwen3-vl-32b-instruct,qwen3-vl-32b-instruct
qwen/qwen3-vl-8b-instruct,qwen3-vl-8b-instruct
qwen/qwen3.5-122b-a10b,qwen3-5-122b-a10b
qwen/qwen3.5-27b,qwen3-5-27b
qwen/qwen3.5-35b-a3b,qwen3-5-35b-a3b
qwen/qwen3.5-397b-a17b,qwen3-5-397b-a17b
qwen/qwen3.5-9b,qwen3-5-9b
qwen/qwen3.6-27b,qwen3-6-27b
qwen/qwen3.6-35b-a3b,qwen3-6-35b-a3b
qwen/qwen3.6-plus,qwen3-6-plus
qwen/qwen3.7-max,qwen3-7-max
rekaai/reka-flash-3,reka-flash-3
stepfun/step-3.5-flash,step-3-5-flash
upstage/solar-pro-3,solar-pro-3
x-ai/grok-4.20,grok-4-20
x-ai/grok-4.3,grok-4-3
xiaomi/mimo-v2-flash,mimo-v2-flash
xiaomi/mimo-v2-omni,mimo-v2-omni
xiaomi/mimo-v2-pro,mimo-v2-pro
xiaomi/mimo-v2.5-pro,mimo-v2-5-pro
z-ai/glm-4.5,glm-4.5
z-ai/glm-4.5-air,glm-4-5-air
z-ai/glm-4.5v,glm-4-5v
z-ai/glm-4.6,glm-4-6
z-ai/glm-4.6v,glm-4-6v
z-ai/glm-4.7,glm-4-7
z-ai/glm-4.7-flash,glm-4-7-flash
z-ai/glm-5,glm-5
z-ai/glm-5-turbo,glm-5-turbo
z-ai/glm-5.1,glm-5-1
z-ai/glm-5v-turbo,glm-5v-turbo
