fetched_date,id,name,context_length,modality,prompt_usd_per_mtok,completion_usd_per_mtok,input_cache_read_usd_per_mtok,input_cache_write_usd_per_mtok,internal_reasoning_usd_per_mtok,image_usd,audio_usd,web_search_usd,request_usd
2026-05-22,ai21/jamba-large-1.7,AI21: Jamba Large 1.7,256000,text->text,2,8,,,,,,,
2026-05-22,aion-labs/aion-1.0,AionLabs: Aion-1.0,131072,text->text,4,8,,,,,,,
2026-05-22,aion-labs/aion-1.0-mini,AionLabs: Aion-1.0-Mini,131072,text->text,0.7,1.4,,,,,,,
2026-05-22,aion-labs/aion-2.0,AionLabs: Aion-2.0,131072,text->text,0.8,1.6,0.2,,,,,,
2026-05-22,aion-labs/aion-rp-llama-3.1-8b,AionLabs: Aion-RP 1.0 (8B),32768,text->text,0.8,1.6,,,,,,,
2026-05-22,alfredpros/codellama-7b-instruct-solidity,AlfredPros: CodeLLaMa 7B Instruct Solidity,4096,text->text,0.8,1.2,,,,,,,
2026-05-22,alibaba/tongyi-deepresearch-30b-a3b,Tongyi DeepResearch 30B A3B,131072,text->text,0.09,0.45,0.09,,,,,,
2026-05-22,allenai/olmo-3-32b-think,AllenAI: Olmo 3 32B Think,65536,text->text,0.15,0.5,,,,,,,
2026-05-22,amazon/nova-2-lite-v1,Amazon: Nova 2 Lite,1000000,text+image+file+video->text,0.3,2.5,,,,,,,
2026-05-22,amazon/nova-lite-v1,Amazon: Nova Lite 1.0,300000,text+image->text,0.06,0.24,,,,,,,
2026-05-22,amazon/nova-micro-v1,Amazon: Nova Micro 1.0,128000,text->text,0.035,0.14,,,,,,,
2026-05-22,amazon/nova-premier-v1,Amazon: Nova Premier 1.0,1000000,text+image->text,2.5,12.5,0.625,,,,,,
2026-05-22,amazon/nova-pro-v1,Amazon: Nova Pro 1.0,300000,text+image->text,0.8,3.2,,,,,,,
2026-05-22,anthracite-org/magnum-v4-72b,Magnum v4 72B,32768,text->text,3,5,,,,,,,
2026-05-22,anthropic/claude-3-haiku,Anthropic: Claude 3 Haiku,200000,text+image->text,0.25,1.25,0.03,0.3,,,,,
2026-05-22,anthropic/claude-3.5-haiku,Anthropic: Claude 3.5 Haiku,200000,text+image->text,0.8,4,0.08,1,,,,0.01,
2026-05-22,anthropic/claude-haiku-4.5,Anthropic: Claude Haiku 4.5,200000,text+image+file->text,1,5,0.1,1.25,,,,0.01,
2026-05-22,anthropic/claude-opus-4,Anthropic: Claude Opus 4,200000,text+image+file->text,15,75,1.5,18.75,,,,0.01,
2026-05-22,anthropic/claude-opus-4.1,Anthropic: Claude Opus 4.1,200000,text+image+file->text,15,75,1.5,18.75,,,,0.01,
2026-05-22,anthropic/claude-opus-4.5,Anthropic: Claude Opus 4.5,200000,text+image+file->text,5,25,0.5,6.25,,,,0.01,
2026-05-22,anthropic/claude-opus-4.6,Anthropic: Claude Opus 4.6,1000000,text+image+file->text,5,25,0.5,6.25,,,,0.01,
2026-05-22,anthropic/claude-opus-4.6-fast,Anthropic: Claude Opus 4.6 (Fast),1000000,text+image+file->text,30,150,3,37.5,,,,0.01,
2026-05-22,anthropic/claude-opus-4.7,Anthropic: Claude Opus 4.7,1000000,text+image+file->text,5,25,0.5,6.25,,,,0.01,
2026-05-22,anthropic/claude-opus-4.7-fast,Anthropic: Claude Opus 4.7 (Fast),1000000,text+image+file->text,30,150,3,37.5,,,,0.01,
2026-05-22,anthropic/claude-sonnet-4,Anthropic: Claude Sonnet 4,1000000,text+image+file->text,3,15,0.3,3.75,,,,0.01,
2026-05-22,anthropic/claude-sonnet-4.5,Anthropic: Claude Sonnet 4.5,1000000,text+image+file->text,3,15,0.3,3.75,,,,0.01,
2026-05-22,anthropic/claude-sonnet-4.6,Anthropic: Claude Sonnet 4.6,1000000,text+image+file->text,3,15,0.3,3.75,,,,0.01,
2026-05-22,arcee-ai/coder-large,Arcee AI: Coder Large,32768,text->text,0.5,0.8,,,,,,,
2026-05-22,arcee-ai/maestro-reasoning,Arcee AI: Maestro Reasoning,131072,text->text,0.9,3.3,,,,,,,
2026-05-22,arcee-ai/spotlight,Arcee AI: Spotlight,131072,text+image->text,0.18,0.18,,,,,,,
2026-05-22,arcee-ai/trinity-large-thinking,Arcee AI: Trinity Large Thinking,262144,text->text,0.22,0.85,0.06,,,,,,
2026-05-22,arcee-ai/trinity-large-thinking:free,Arcee AI: Trinity Large Thinking (free),262144,text->text,0,0,,,,,,,
2026-05-22,arcee-ai/trinity-mini,Arcee AI: Trinity Mini,131072,text->text,0.045,0.15,,,,,,,
2026-05-22,arcee-ai/virtuoso-large,Arcee AI: Virtuoso Large,131072,text->text,0.75,1.2,,,,,,,
2026-05-22,baidu/cobuddy:free,Baidu Qianfan: CoBuddy (free),131072,text->text,0,0,,,,,,,
2026-05-22,baidu/ernie-4.5-21b-a3b,Baidu: ERNIE 4.5 21B A3B,131072,text->text,0.07,0.28,,,,,,,
2026-05-22,baidu/ernie-4.5-21b-a3b-thinking,Baidu: ERNIE 4.5 21B A3B Thinking,131072,text->text,0.07,0.28,,,,,,,
2026-05-22,baidu/ernie-4.5-300b-a47b,Baidu: ERNIE 4.5 300B A47B ,131072,text->text,0.28,1.1,,,,,,,
2026-05-22,baidu/ernie-4.5-vl-28b-a3b,Baidu: ERNIE 4.5 VL 28B A3B,131072,text+image->text,0.14,0.56,,,,,,,
2026-05-22,baidu/ernie-4.5-vl-424b-a47b,Baidu: ERNIE 4.5 VL 424B A47B ,131072,text+image->text,0.42,1.25,,,,,,,
2026-05-22,baidu/qianfan-ocr-fast,Baidu: Qianfan-OCR-Fast,65536,text+image->text,0.68,2.81,,,,,,,
2026-05-22,bytedance-seed/seed-1.6,ByteDance Seed: Seed 1.6,262144,text+image+video->text,0.25,2,,,,,,,
2026-05-22,bytedance-seed/seed-1.6-flash,ByteDance Seed: Seed 1.6 Flash,262144,text+image+video->text,0.075,0.3,,,,,,,
2026-05-22,bytedance-seed/seed-2.0-lite,ByteDance Seed: Seed-2.0-Lite,262144,text+image+video->text,0.25,2,,,,,,,
2026-05-22,bytedance-seed/seed-2.0-mini,ByteDance Seed: Seed-2.0-Mini,262144,text+image+video->text,0.1,0.4,,,,,,,
2026-05-22,bytedance/ui-tars-1.5-7b,ByteDance: UI-TARS 7B ,128000,text+image->text,0.1,0.2,0.1,,,,,,
2026-05-22,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,Venice: Uncensored (free),32768,text->text,0,0,,,,,,,
2026-05-22,cohere/command-a,Cohere: Command A,256000,text->text,2.5,10,,,,,,,
2026-05-22,cohere/command-r-08-2024,Cohere: Command R (08-2024),128000,text->text,0.15,0.6,,,,,,,
2026-05-22,cohere/command-r-plus-08-2024,Cohere: Command R+ (08-2024),128000,text->text,2.5,10,,,,,,,
2026-05-22,cohere/command-r7b-12-2024,Cohere: Command R7B (12-2024),128000,text->text,0.0375,0.15,,,,,,,
2026-05-22,deepcogito/cogito-v2.1-671b,Deep Cogito: Cogito v2.1 671B,128000,text->text,1.25,1.25,,,,,,,
2026-05-22,deepseek/deepseek-chat,DeepSeek: DeepSeek V3,163840,text->text,0.32,0.89,,,,,,,
2026-05-22,deepseek/deepseek-chat-v3-0324,DeepSeek: DeepSeek V3 0324,163840,text->text,0.2,0.77,0.135,,,,,,
2026-05-22,deepseek/deepseek-chat-v3.1,DeepSeek: DeepSeek V3.1,163840,text->text,0.21,0.79,0.13,,,,,,
2026-05-22,deepseek/deepseek-r1,DeepSeek: R1,163840,text->text,0.7,2.5,,,,,,,
2026-05-22,deepseek/deepseek-r1-0528,DeepSeek: R1 0528,163840,text->text,0.5,2.15,0.35,,,,,,
2026-05-22,deepseek/deepseek-r1-distill-llama-70b,DeepSeek: R1 Distill Llama 70B,131072,text->text,0.7,0.8,,,,,,,
2026-05-22,deepseek/deepseek-r1-distill-qwen-32b,DeepSeek: R1 Distill Qwen 32B,128000,text->text,0.29,0.29,,,,,,,
2026-05-22,deepseek/deepseek-v3.1-terminus,DeepSeek: DeepSeek V3.1 Terminus,163840,text->text,0.27,0.95,0.13,,,,,,
2026-05-22,deepseek/deepseek-v3.2,DeepSeek: DeepSeek V3.2,131072,text->text,0.252,0.378,0.0252,,,,,,
2026-05-22,deepseek/deepseek-v3.2-exp,DeepSeek: DeepSeek V3.2 Exp,163840,text->text,0.27,0.41,,,,,,,
2026-05-22,deepseek/deepseek-v3.2-speciale,DeepSeek: DeepSeek V3.2 Speciale,163840,text->text,0.287,0.431,0.058,,,,,,
2026-05-22,deepseek/deepseek-v4-flash,DeepSeek: DeepSeek V4 Flash,1048576,text->text,0.112,0.224,0.022,,,,,,
2026-05-22,deepseek/deepseek-v4-flash:free,DeepSeek: DeepSeek V4 Flash (free),1048576,text->text,0,0,,,,,,,
2026-05-22,deepseek/deepseek-v4-pro,DeepSeek: DeepSeek V4 Pro,1048576,text->text,0.435,0.87,0.003625,,,,,,
2026-05-22,essentialai/rnj-1-instruct,EssentialAI: Rnj 1 Instruct,32768,text->text,0.15,0.15,,,,,,,
2026-05-22,google/gemini-2.0-flash-001,Google: Gemini 2.0 Flash,1000000,text+image+file+audio+video->text,0.1,0.4,0.025,0.08333333333333334,0.4,0.0000001,0.0000007,0.014,
2026-05-22,google/gemini-2.0-flash-lite-001,Google: Gemini 2.0 Flash Lite,1048576,text+image+file+audio+video->text,0.075,0.3,,,0.3,0.000000075,0.000000075,0.014,
2026-05-22,google/gemini-2.5-flash,Google: Gemini 2.5 Flash,1048576,text+image+file+audio+video->text,0.3,2.5,0.03,0.08333333333333334,2.5,0.0000003,0.000001,0.014,
