openrouter_id,name,prompt_usd_per_mtok,completion_usd_per_mtok,blended_usd_per_mtok,aa_intelligence_index,aa_tau2,aa_terminalbench_hard
ai21/jamba-large-1.7,AI21: Jamba Large 1.7,2,8,3.5,,,
aion-labs/aion-1.0,AionLabs: Aion-1.0,4,8,5,,,
aion-labs/aion-1.0-mini,AionLabs: Aion-1.0-Mini,0.7,1.4,0.875,,,
aion-labs/aion-2.0,AionLabs: Aion-2.0,0.8,1.6,1,,,
aion-labs/aion-rp-llama-3.1-8b,AionLabs: Aion-RP 1.0 (8B),0.8,1.6,1,,,
alfredpros/codellama-7b-instruct-solidity,AlfredPros: CodeLLaMa 7B Instruct Solidity,0.8,1.2,0.9,,,
alibaba/tongyi-deepresearch-30b-a3b,Tongyi DeepResearch 30B A3B,0.09,0.45,0.18,,,
allenai/olmo-3-32b-think,AllenAI: Olmo 3 32B Think,0.15,0.5,0.2375,12.1,0,0.0151515151515152
amazon/nova-2-lite-v1,Amazon: Nova 2 Lite,0.3,2.5,0.85,,,
amazon/nova-lite-v1,Amazon: Nova Lite 1.0,0.06,0.24,0.105,,,
amazon/nova-micro-v1,Amazon: Nova Micro 1.0,0.035,0.14,0.06125,,,
amazon/nova-premier-v1,Amazon: Nova Premier 1.0,2.5,12.5,5,,,
amazon/nova-pro-v1,Amazon: Nova Pro 1.0,0.8,3.2,1.4,,,
anthracite-org/magnum-v4-72b,Magnum v4 72B,3,5,3.5,,,
anthropic/claude-3-haiku,Anthropic: Claude 3 Haiku,0.25,1.25,0.5,12.3,0.210526315789474,0.00757575757575758
anthropic/claude-3.5-haiku,Anthropic: Claude 3.5 Haiku,0.8,4,1.6,18.7,0.245614035087719,0.0227272727272727
anthropic/claude-haiku-4.5,Anthropic: Claude Haiku 4.5,1,5,2,,,
anthropic/claude-opus-4,Anthropic: Claude Opus 4,15,75,30,,,
anthropic/claude-opus-4.1,Anthropic: Claude Opus 4.1,15,75,30,,,
anthropic/claude-opus-4.5,Anthropic: Claude Opus 4.5,5,25,10,43.1,0.862573099415205,0.409090909090909
anthropic/claude-opus-4.6,Anthropic: Claude Opus 4.6,5,25,10,46.5,0.847953216374269,0.484848484848485
anthropic/claude-opus-4.6-fast,Anthropic: Claude Opus 4.6 (Fast),30,150,60,,,
anthropic/claude-opus-4.7,Anthropic: Claude Opus 4.7,5,25,10,57.3,0.885964912280702,0.515151515151515
anthropic/claude-opus-4.7-fast,Anthropic: Claude Opus 4.7 (Fast),30,150,60,,,
anthropic/claude-sonnet-4,Anthropic: Claude Sonnet 4,3,15,6,,,
anthropic/claude-sonnet-4.5,Anthropic: Claude Sonnet 4.5,3,15,6,,,
anthropic/claude-sonnet-4.6,Anthropic: Claude Sonnet 4.6,3,15,6,44.4,0.795321637426901,0.462121212121212
