fetched_date,source_model_name,benchmark,score
2026-05-22,QwQ-32B-Preview,aime,0.453333333333333
2026-05-22,QwQ-32B-Preview,artificial_analysis_intelligence_index,15.2
2026-05-22,QwQ-32B-Preview,gpqa,0.557
2026-05-22,QwQ-32B-Preview,hle,0.048
2026-05-22,QwQ-32B-Preview,livecodebench,0.337
2026-05-22,QwQ-32B-Preview,math_500,0.91
2026-05-22,QwQ-32B-Preview,mmlu_pro,0.648
2026-05-22,QwQ-32B-Preview,scicode,0.038
2026-05-22,apertus-70b-instruct,artificial_analysis_coding_index,1.9
2026-05-22,apertus-70b-instruct,artificial_analysis_intelligence_index,7.7
2026-05-22,apertus-70b-instruct,gpqa,0.272
2026-05-22,apertus-70b-instruct,hle,0.055
2026-05-22,apertus-70b-instruct,scicode,0.057
2026-05-22,apertus-8b-instruct,artificial_analysis_coding_index,1.4
2026-05-22,apertus-8b-instruct,artificial_analysis_intelligence_index,5.9
2026-05-22,apertus-8b-instruct,gpqa,0.256
2026-05-22,apertus-8b-instruct,hle,0.05
2026-05-22,apertus-8b-instruct,scicode,0.041
2026-05-22,apriel-v1-5-15b-thinker,artificial_analysis_coding_index,18.7
2026-05-22,apriel-v1-5-15b-thinker,artificial_analysis_intelligence_index,28.3
2026-05-22,apriel-v1-5-15b-thinker,artificial_analysis_math_index,87.5
2026-05-22,apriel-v1-5-15b-thinker,gpqa,0.713
2026-05-22,apriel-v1-5-15b-thinker,hle,0.12
2026-05-22,apriel-v1-5-15b-thinker,livecodebench,0.728
2026-05-22,apriel-v1-5-15b-thinker,mmlu_pro,0.773
2026-05-22,apriel-v1-5-15b-thinker,scicode,0.348
2026-05-22,apriel-v1-6-15b-thinker,artificial_analysis_coding_index,22
2026-05-22,apriel-v1-6-15b-thinker,artificial_analysis_intelligence_index,27.6
2026-05-22,apriel-v1-6-15b-thinker,artificial_analysis_math_index,88
2026-05-22,apriel-v1-6-15b-thinker,gpqa,0.733
2026-05-22,apriel-v1-6-15b-thinker,hle,0.098
2026-05-22,apriel-v1-6-15b-thinker,livecodebench,0.807
2026-05-22,apriel-v1-6-15b-thinker,mmlu_pro,0.79
2026-05-22,apriel-v1-6-15b-thinker,scicode,0.373
2026-05-22,arctic-instruct,artificial_analysis_intelligence_index,8.8
2026-05-22,claude-2,aime,0
2026-05-22,claude-2,artificial_analysis_coding_index,12.9
2026-05-22,claude-2,artificial_analysis_intelligence_index,9.1
2026-05-22,claude-2,gpqa,0.344
2026-05-22,claude-2,livecodebench,0.171
2026-05-22,claude-2,mmlu_pro,0.486
2026-05-22,claude-2,scicode,0.194
2026-05-22,claude-21,aime,0.0333333333333333
2026-05-22,claude-21,artificial_analysis_coding_index,14
2026-05-22,claude-21,artificial_analysis_intelligence_index,9.3
2026-05-22,claude-21,gpqa,0.319
2026-05-22,claude-21,hle,0.042
2026-05-22,claude-21,livecodebench,0.195
2026-05-22,claude-21,math_500,0.374
2026-05-22,claude-21,mmlu_pro,0.495
2026-05-22,claude-21,scicode,0.184
2026-05-22,claude-3-5-haiku,aime,0.0333333333333333
2026-05-22,claude-3-5-haiku,artificial_analysis_coding_index,10.7
2026-05-22,claude-3-5-haiku,artificial_analysis_intelligence_index,18.7
2026-05-22,claude-3-5-haiku,gpqa,0.408
2026-05-22,claude-3-5-haiku,hle,0.035
2026-05-22,claude-3-5-haiku,livecodebench,0.314
2026-05-22,claude-3-5-haiku,math_500,0.720666666666667
2026-05-22,claude-3-5-haiku,mmlu_pro,0.634
2026-05-22,claude-3-5-haiku,scicode,0.274
2026-05-22,claude-3-7-sonnet,aime,0.223333333333333
2026-05-22,claude-3-7-sonnet,artificial_analysis_coding_index,26.7
2026-05-22,claude-3-7-sonnet,artificial_analysis_intelligence_index,30.8
2026-05-22,claude-3-7-sonnet,artificial_analysis_math_index,21
2026-05-22,claude-3-7-sonnet,gpqa,0.656
2026-05-22,claude-3-7-sonnet,hle,0.048
2026-05-22,claude-3-7-sonnet,livecodebench,0.394
2026-05-22,claude-3-7-sonnet,math_500,0.85
2026-05-22,claude-3-7-sonnet,mmlu_pro,0.803
2026-05-22,claude-3-7-sonnet,scicode,0.376
2026-05-22,claude-3-7-sonnet-thinking,aime,0.486666666666667
2026-05-22,claude-3-7-sonnet-thinking,artificial_analysis_coding_index,27.6
2026-05-22,claude-3-7-sonnet-thinking,artificial_analysis_intelligence_index,34.7
2026-05-22,claude-3-7-sonnet-thinking,artificial_analysis_math_index,56.3
2026-05-22,claude-3-7-sonnet-thinking,gpqa,0.772
2026-05-22,claude-3-7-sonnet-thinking,hle,0.103
2026-05-22,claude-3-7-sonnet-thinking,livecodebench,0.473
2026-05-22,claude-3-7-sonnet-thinking,math_500,0.946666666666667
2026-05-22,claude-3-7-sonnet-thinking,mmlu_pro,0.837
2026-05-22,claude-3-7-sonnet-thinking,scicode,0.403
2026-05-22,claude-3-haiku,aime,0.01
2026-05-22,claude-3-haiku,artificial_analysis_coding_index,6.7
2026-05-22,claude-3-haiku,artificial_analysis_intelligence_index,12.3
2026-05-22,claude-3-haiku,gpqa,0.374
2026-05-22,claude-3-haiku,hle,0.039
2026-05-22,claude-3-haiku,livecodebench,0.154
2026-05-22,claude-3-haiku,math_500,0.394
2026-05-22,claude-3-haiku,scicode,0.186
2026-05-22,claude-3-opus,aime,0.0333333333333333
2026-05-22,claude-3-opus,artificial_analysis_coding_index,19.5
2026-05-22,claude-3-opus,artificial_analysis_intelligence_index,18
2026-05-22,claude-3-opus,gpqa,0.489
2026-05-22,claude-3-opus,hle,0.031
2026-05-22,claude-3-opus,livecodebench,0.279
2026-05-22,claude-3-opus,math_500,0.640666666666667
2026-05-22,claude-3-opus,mmlu_pro,0.696
2026-05-22,claude-3-opus,scicode,0.233
2026-05-22,claude-3-sonnet,aime,0.0466666666666667
2026-05-22,claude-3-sonnet,artificial_analysis_intelligence_index,10.3
2026-05-22,claude-3-sonnet,gpqa,0.4
2026-05-22,claude-3-sonnet,hle,0.038
2026-05-22,claude-3-sonnet,livecodebench,0.175
2026-05-22,claude-3-sonnet,math_500,0.414
2026-05-22,claude-3-sonnet,mmlu_pro,0.579
2026-05-22,claude-3-sonnet,scicode,0.229
2026-05-22,claude-35-sonnet,aime,0.156666666666667
2026-05-22,claude-35-sonnet,artificial_analysis_coding_index,30.2
2026-05-22,claude-35-sonnet,artificial_analysis_intelligence_index,15.9
2026-05-22,claude-35-sonnet,gpqa,0.599
2026-05-22,claude-35-sonnet,hle,0.039
2026-05-22,claude-35-sonnet,livecodebench,0.381
2026-05-22,claude-35-sonnet,math_500,0.771333333333333
2026-05-22,claude-35-sonnet,mmlu_pro,0.772
2026-05-22,claude-35-sonnet,scicode,0.366
2026-05-22,claude-35-sonnet-june-24,aime,0.0966666666666667
2026-05-22,claude-35-sonnet-june-24,artificial_analysis_coding_index,26
2026-05-22,claude-35-sonnet-june-24,artificial_analysis_intelligence_index,14.2
2026-05-22,claude-35-sonnet-june-24,gpqa,0.56
2026-05-22,claude-35-sonnet-june-24,hle,0.037
2026-05-22,claude-35-sonnet-june-24,math_500,0.695333333333333
2026-05-22,claude-35-sonnet-june-24,mmlu_pro,0.751
2026-05-22,claude-35-sonnet-june-24,scicode,0.316
2026-05-22,claude-4-1-opus,artificial_analysis_intelligence_index,36
2026-05-22,claude-4-1-opus-thinking,artificial_analysis_coding_index,36.5
2026-05-22,claude-4-1-opus-thinking,artificial_analysis_intelligence_index,42
2026-05-22,claude-4-1-opus-thinking,artificial_analysis_math_index,80.3
2026-05-22,claude-4-1-opus-thinking,gpqa,0.809
2026-05-22,claude-4-1-opus-thinking,hle,0.119
2026-05-22,claude-4-1-opus-thinking,livecodebench,0.654
2026-05-22,claude-4-1-opus-thinking,mmlu_pro,0.88
2026-05-22,claude-4-1-opus-thinking,scicode,0.409
2026-05-22,claude-4-5-haiku,artificial_analysis_coding_index,29.6
2026-05-22,claude-4-5-haiku,artificial_analysis_intelligence_index,31
2026-05-22,claude-4-5-haiku,artificial_analysis_math_index,39
2026-05-22,claude-4-5-haiku,gpqa,0.646
2026-05-22,claude-4-5-haiku,hle,0.043
2026-05-22,claude-4-5-haiku,livecodebench,0.511
2026-05-22,claude-4-5-haiku,mmlu_pro,0.8
2026-05-22,claude-4-5-haiku,scicode,0.344
2026-05-22,claude-4-5-haiku-reasoning,artificial_analysis_coding_index,32.6
2026-05-22,claude-4-5-haiku-reasoning,artificial_analysis_intelligence_index,37.1
2026-05-22,claude-4-5-haiku-reasoning,artificial_analysis_math_index,83.7
2026-05-22,claude-4-5-haiku-reasoning,gpqa,0.672
2026-05-22,claude-4-5-haiku-reasoning,hle,0.097
2026-05-22,claude-4-5-haiku-reasoning,livecodebench,0.615
2026-05-22,claude-4-5-haiku-reasoning,mmlu_pro,0.76
2026-05-22,claude-4-5-haiku-reasoning,scicode,0.433
2026-05-22,claude-4-5-sonnet,artificial_analysis_coding_index,33.5
2026-05-22,claude-4-5-sonnet,artificial_analysis_intelligence_index,37.1
2026-05-22,claude-4-5-sonnet,artificial_analysis_math_index,37
2026-05-22,claude-4-5-sonnet,gpqa,0.727
2026-05-22,claude-4-5-sonnet,hle,0.071
2026-05-22,claude-4-5-sonnet,livecodebench,0.59
2026-05-22,claude-4-5-sonnet,mmlu_pro,0.86
2026-05-22,claude-4-5-sonnet,scicode,0.428
2026-05-22,claude-4-5-sonnet-thinking,artificial_analysis_coding_index,38.6
2026-05-22,claude-4-5-sonnet-thinking,artificial_analysis_intelligence_index,43
2026-05-22,claude-4-5-sonnet-thinking,artificial_analysis_math_index,88
2026-05-22,claude-4-5-sonnet-thinking,gpqa,0.834
2026-05-22,claude-4-5-sonnet-thinking,hle,0.173
2026-05-22,claude-4-5-sonnet-thinking,livecodebench,0.714
2026-05-22,claude-4-5-sonnet-thinking,mmlu_pro,0.875
2026-05-22,claude-4-5-sonnet-thinking,scicode,0.447
2026-05-22,claude-4-opus,aime,0.563333333333333
2026-05-22,claude-4-opus,artificial_analysis_intelligence_index,33
2026-05-22,claude-4-opus,artificial_analysis_math_index,36.3
2026-05-22,claude-4-opus,gpqa,0.701
2026-05-22,claude-4-opus,hle,0.059
2026-05-22,claude-4-opus,livecodebench,0.542
2026-05-22,claude-4-opus,math_500,0.940666666666667
2026-05-22,claude-4-opus,mmlu_pro,0.86
2026-05-22,claude-4-opus,scicode,0.409
2026-05-22,claude-4-opus-thinking,aime,0.756666666666667
2026-05-22,claude-4-opus-thinking,artificial_analysis_coding_index,34
2026-05-22,claude-4-opus-thinking,artificial_analysis_intelligence_index,39
2026-05-22,claude-4-opus-thinking,artificial_analysis_math_index,73.3
2026-05-22,claude-4-opus-thinking,gpqa,0.796
2026-05-22,claude-4-opus-thinking,hle,0.117
2026-05-22,claude-4-opus-thinking,livecodebench,0.636
2026-05-22,claude-4-opus-thinking,math_500,0.982
2026-05-22,claude-4-opus-thinking,mmlu_pro,0.873
2026-05-22,claude-4-opus-thinking,scicode,0.398
2026-05-22,claude-4-sonnet,aime,0.406666666666667
2026-05-22,claude-4-sonnet,artificial_analysis_coding_index,30.6
2026-05-22,claude-4-sonnet,artificial_analysis_intelligence_index,33
2026-05-22,claude-4-sonnet,artificial_analysis_math_index,38
2026-05-22,claude-4-sonnet,gpqa,0.683
2026-05-22,claude-4-sonnet,hle,0.04
2026-05-22,claude-4-sonnet,livecodebench,0.449
2026-05-22,claude-4-sonnet,math_500,0.934
2026-05-22,claude-4-sonnet,mmlu_pro,0.837
2026-05-22,claude-4-sonnet,scicode,0.373
2026-05-22,claude-4-sonnet-thinking,aime,0.773333333333333
2026-05-22,claude-4-sonnet-thinking,artificial_analysis_coding_index,34.1
2026-05-22,claude-4-sonnet-thinking,artificial_analysis_intelligence_index,38.7
2026-05-22,claude-4-sonnet-thinking,artificial_analysis_math_index,74.3
2026-05-22,claude-4-sonnet-thinking,gpqa,0.777
2026-05-22,claude-4-sonnet-thinking,hle,0.096
2026-05-22,claude-4-sonnet-thinking,livecodebench,0.655
2026-05-22,claude-4-sonnet-thinking,math_500,0.990666666666667
2026-05-22,claude-4-sonnet-thinking,mmlu_pro,0.842
2026-05-22,claude-4-sonnet-thinking,scicode,0.4
2026-05-22,claude-instant,aime,0
2026-05-22,claude-instant,artificial_analysis_coding_index,7.8
2026-05-22,claude-instant,artificial_analysis_intelligence_index,7.4
2026-05-22,claude-instant,gpqa,0.33
2026-05-22,claude-instant,hle,0.038
2026-05-22,claude-instant,livecodebench,0.109
2026-05-22,claude-instant,math_500,0.264
2026-05-22,claude-instant,mmlu_pro,0.434
2026-05-22,claude-opus-4-5,artificial_analysis_coding_index,42.9
2026-05-22,claude-opus-4-5,artificial_analysis_intelligence_index,43.1
2026-05-22,claude-opus-4-5,artificial_analysis_math_index,62.7
2026-05-22,claude-opus-4-5,gpqa,0.81
2026-05-22,claude-opus-4-5,hle,0.129
2026-05-22,claude-opus-4-5,livecodebench,0.738
2026-05-22,claude-opus-4-5,mmlu_pro,0.889
2026-05-22,claude-opus-4-5,scicode,0.47
2026-05-22,claude-opus-4-5-thinking,artificial_analysis_coding_index,47.8
2026-05-22,claude-opus-4-5-thinking,artificial_analysis_intelligence_index,49.7
2026-05-22,claude-opus-4-5-thinking,artificial_analysis_math_index,91.3
2026-05-22,claude-opus-4-5-thinking,gpqa,0.866
2026-05-22,claude-opus-4-5-thinking,hle,0.284
2026-05-22,claude-opus-4-5-thinking,livecodebench,0.871
2026-05-22,claude-opus-4-5-thinking,mmlu_pro,0.895
2026-05-22,claude-opus-4-5-thinking,scicode,0.495
2026-05-22,claude-opus-4-6,artificial_analysis_coding_index,47.6
2026-05-22,claude-opus-4-6,artificial_analysis_intelligence_index,46.5
2026-05-22,claude-opus-4-6,gpqa,0.84
2026-05-22,claude-opus-4-6,hle,0.186
2026-05-22,claude-opus-4-6,scicode,0.457
2026-05-22,claude-opus-4-6-adaptive,artificial_analysis_coding_index,48.1
2026-05-22,claude-opus-4-6-adaptive,artificial_analysis_intelligence_index,52.9
2026-05-22,claude-opus-4-6-adaptive,gpqa,0.896
2026-05-22,claude-opus-4-6-adaptive,hle,0.367
2026-05-22,claude-opus-4-6-adaptive,scicode,0.519
2026-05-22,claude-opus-4-7,artificial_analysis_coding_index,52.5
2026-05-22,claude-opus-4-7,artificial_analysis_intelligence_index,57.3
2026-05-22,claude-opus-4-7,gpqa,0.914
2026-05-22,claude-opus-4-7,hle,0.396
2026-05-22,claude-opus-4-7,scicode,0.545
2026-05-22,claude-opus-4-7-non-reasoning,artificial_analysis_coding_index,53.1
2026-05-22,claude-opus-4-7-non-reasoning,artificial_analysis_intelligence_index,51.8
2026-05-22,claude-opus-4-7-non-reasoning,gpqa,0.885
2026-05-22,claude-opus-4-7-non-reasoning,hle,0.312
2026-05-22,claude-opus-4-7-non-reasoning,scicode,0.501
2026-05-22,claude-sonnet-4-6,artificial_analysis_coding_index,46.4
2026-05-22,claude-sonnet-4-6,artificial_analysis_intelligence_index,44.4
2026-05-22,claude-sonnet-4-6,gpqa,0.799
2026-05-22,claude-sonnet-4-6,hle,0.132
2026-05-22,claude-sonnet-4-6,scicode,0.469
2026-05-22,claude-sonnet-4-6-adaptive,artificial_analysis_coding_index,50.9
2026-05-22,claude-sonnet-4-6-adaptive,artificial_analysis_intelligence_index,51.7
2026-05-22,claude-sonnet-4-6-adaptive,gpqa,0.875
2026-05-22,claude-sonnet-4-6-adaptive,hle,0.3
2026-05-22,claude-sonnet-4-6-adaptive,scicode,0.468
2026-05-22,claude-sonnet-4-6-non-reasoning-low-effort,artificial_analysis_coding_index,43
2026-05-22,claude-sonnet-4-6-non-reasoning-low-effort,artificial_analysis_intelligence_index,42.6
2026-05-22,claude-sonnet-4-6-non-reasoning-low-effort,gpqa,0.797
2026-05-22,claude-sonnet-4-6-non-reasoning-low-effort,hle,0.108
2026-05-22,claude-sonnet-4-6-non-reasoning-low-effort,scicode,0.441
2026-05-22,cogito-v2-1-reasoning,artificial_analysis_coding_index,24.8
2026-05-22,cogito-v2-1-reasoning,artificial_analysis_math_index,72.7
2026-05-22,cogito-v2-1-reasoning,gpqa,0.768
2026-05-22,cogito-v2-1-reasoning,hle,0.11
2026-05-22,cogito-v2-1-reasoning,livecodebench,0.688
2026-05-22,cogito-v2-1-reasoning,mmlu_pro,0.849
2026-05-22,cogito-v2-1-reasoning,scicode,0.41
2026-05-22,command-a,aime,0.0966666666666667
2026-05-22,command-a,artificial_analysis_coding_index,9.9
2026-05-22,command-a,artificial_analysis_intelligence_index,13.5
2026-05-22,command-a,artificial_analysis_math_index,13
2026-05-22,command-a,gpqa,0.527
2026-05-22,command-a,hle,0.046
2026-05-22,command-a,livecodebench,0.287
2026-05-22,command-a,math_500,0.818666666666667
2026-05-22,command-a,mmlu_pro,0.712
2026-05-22,command-a,scicode,0.281
2026-05-22,command-a-plus,artificial_analysis_coding_index,29.3
2026-05-22,command-a-plus,artificial_analysis_intelligence_index,37.2
2026-05-22,command-a-plus,gpqa,0.761
2026-05-22,command-a-plus,hle,0.114
2026-05-22,command-a-plus,scicode,0.378
2026-05-22,command-r-03-2024,aime,0.00666666666666667
2026-05-22,command-r-03-2024,artificial_analysis_intelligence_index,7.4
2026-05-22,command-r-03-2024,gpqa,0.284
2026-05-22,command-r-03-2024,hle,0.048
2026-05-22,command-r-03-2024,livecodebench,0.048
2026-05-22,command-r-03-2024,math_500,0.164
2026-05-22,command-r-03-2024,mmlu_pro,0.338
2026-05-22,command-r-03-2024,scicode,0.063
2026-05-22,command-r-plus-04-2024,aime,0.00666666666666667
2026-05-22,command-r-plus-04-2024,artificial_analysis_intelligence_index,8.3
2026-05-22,command-r-plus-04-2024,gpqa,0.323
2026-05-22,command-r-plus-04-2024,hle,0.045
2026-05-22,command-r-plus-04-2024,livecodebench,0.122
2026-05-22,command-r-plus-04-2024,math_500,0.278666666666667
2026-05-22,command-r-plus-04-2024,mmlu_pro,0.432
2026-05-22,command-r-plus-04-2024,scicode,0.118
2026-05-22,dbrx,aime,0.03
2026-05-22,dbrx,artificial_analysis_intelligence_index,8.3
2026-05-22,dbrx,gpqa,0.331
2026-05-22,dbrx,hle,0.066
2026-05-22,dbrx,livecodebench,0.093
2026-05-22,dbrx,math_500,0.279333333333333
2026-05-22,dbrx,mmlu_pro,0.397
2026-05-22,dbrx,scicode,0.118
2026-05-22,deephermes-3-llama-3-1-8b-preview,aime,0
2026-05-22,deephermes-3-llama-3-1-8b-preview,artificial_analysis_intelligence_index,7.6
2026-05-22,deephermes-3-llama-3-1-8b-preview,gpqa,0.27
2026-05-22,deephermes-3-llama-3-1-8b-preview,hle,0.043
2026-05-22,deephermes-3-llama-3-1-8b-preview,livecodebench,0.085
2026-05-22,deephermes-3-llama-3-1-8b-preview,math_500,0.218
2026-05-22,deephermes-3-llama-3-1-8b-preview,mmlu_pro,0.365
2026-05-22,deephermes-3-llama-3-1-8b-preview,scicode,0.091
2026-05-22,deephermes-3-mistral-24b-preview,aime,0.0466666666666667
2026-05-22,deephermes-3-mistral-24b-preview,artificial_analysis_intelligence_index,10.9
2026-05-22,deephermes-3-mistral-24b-preview,gpqa,0.382
2026-05-22,deephermes-3-mistral-24b-preview,hle,0.039
2026-05-22,deephermes-3-mistral-24b-preview,livecodebench,0.195
2026-05-22,deephermes-3-mistral-24b-preview,math_500,0.594666666666667
2026-05-22,deephermes-3-mistral-24b-preview,mmlu_pro,0.58
2026-05-22,deephermes-3-mistral-24b-preview,scicode,0.228
2026-05-22,deepseek-coder-v2,artificial_analysis_intelligence_index,10.6
2026-05-22,deepseek-coder-v2,math_500,0.742666666666667
2026-05-22,deepseek-coder-v2-lite,artificial_analysis_intelligence_index,8.5
2026-05-22,deepseek-coder-v2-lite,gpqa,0.319
2026-05-22,deepseek-coder-v2-lite,hle,0.053
2026-05-22,deepseek-coder-v2-lite,livecodebench,0.158
2026-05-22,deepseek-coder-v2-lite,mmlu_pro,0.429
2026-05-22,deepseek-coder-v2-lite,scicode,0.139
2026-05-22,deepseek-llm-67b-chat,artificial_analysis_intelligence_index,8.4
2026-05-22,deepseek-r1,aime,0.893333333333333
2026-05-22,deepseek-r1,artificial_analysis_coding_index,24
2026-05-22,deepseek-r1,artificial_analysis_intelligence_index,27.1
2026-05-22,deepseek-r1,artificial_analysis_math_index,76
2026-05-22,deepseek-r1,gpqa,0.813
2026-05-22,deepseek-r1,hle,0.149
2026-05-22,deepseek-r1,livecodebench,0.77
2026-05-22,deepseek-r1,math_500,0.982666666666667
2026-05-22,deepseek-r1,mmlu_pro,0.849
2026-05-22,deepseek-r1,scicode,0.403
2026-05-22,deepseek-r1-0120,aime,0.683333333333333
2026-05-22,deepseek-r1-0120,artificial_analysis_coding_index,15.9
2026-05-22,deepseek-r1-0120,artificial_analysis_intelligence_index,18.8
2026-05-22,deepseek-r1-0120,artificial_analysis_math_index,68
2026-05-22,deepseek-r1-0120,gpqa,0.708
2026-05-22,deepseek-r1-0120,hle,0.093
2026-05-22,deepseek-r1-0120,livecodebench,0.617
2026-05-22,deepseek-r1-0120,math_500,0.966
2026-05-22,deepseek-r1-0120,mmlu_pro,0.844
2026-05-22,deepseek-r1-0120,scicode,0.357
2026-05-22,deepseek-r1-distill-llama-70b,aime,0.67
2026-05-22,deepseek-r1-distill-llama-70b,artificial_analysis_coding_index,11.4
2026-05-22,deepseek-r1-distill-llama-70b,artificial_analysis_intelligence_index,16
2026-05-22,deepseek-r1-distill-llama-70b,artificial_analysis_math_index,53.7
2026-05-22,deepseek-r1-distill-llama-70b,gpqa,0.402
2026-05-22,deepseek-r1-distill-llama-70b,hle,0.061
2026-05-22,deepseek-r1-distill-llama-70b,livecodebench,0.266
2026-05-22,deepseek-r1-distill-llama-70b,math_500,0.934666666666667
2026-05-22,deepseek-r1-distill-llama-70b,mmlu_pro,0.795
2026-05-22,deepseek-r1-distill-llama-70b,scicode,0.313
2026-05-22,deepseek-r1-distill-llama-8b,aime,0.333333333333333
2026-05-22,deepseek-r1-distill-llama-8b,artificial_analysis_intelligence_index,12.1
2026-05-22,deepseek-r1-distill-llama-8b,artificial_analysis_math_index,41.3
2026-05-22,deepseek-r1-distill-llama-8b,gpqa,0.302
2026-05-22,deepseek-r1-distill-llama-8b,hle,0.042
2026-05-22,deepseek-r1-distill-llama-8b,livecodebench,0.233
2026-05-22,deepseek-r1-distill-llama-8b,math_500,0.852666666666667
2026-05-22,deepseek-r1-distill-llama-8b,mmlu_pro,0.543
2026-05-22,deepseek-r1-distill-llama-8b,scicode,0.119
2026-05-22,deepseek-r1-distill-qwen-1-5b,aime,0.176666666666667
2026-05-22,deepseek-r1-distill-qwen-1-5b,artificial_analysis_intelligence_index,9.1
2026-05-22,deepseek-r1-distill-qwen-1-5b,artificial_analysis_math_index,22
2026-05-22,deepseek-r1-distill-qwen-1-5b,gpqa,0.098
2026-05-22,deepseek-r1-distill-qwen-1-5b,hle,0.033
2026-05-22,deepseek-r1-distill-qwen-1-5b,livecodebench,0.07
2026-05-22,deepseek-r1-distill-qwen-1-5b,math_500,0.687333333333333
2026-05-22,deepseek-r1-distill-qwen-1-5b,mmlu_pro,0.269
2026-05-22,deepseek-r1-distill-qwen-1-5b,scicode,0.066
2026-05-22,deepseek-r1-distill-qwen-14b,aime,0.666666666666667
2026-05-22,deepseek-r1-distill-qwen-14b,artificial_analysis_intelligence_index,15.8
2026-05-22,deepseek-r1-distill-qwen-14b,artificial_analysis_math_index,55.7
2026-05-22,deepseek-r1-distill-qwen-14b,gpqa,0.484
2026-05-22,deepseek-r1-distill-qwen-14b,hle,0.044
2026-05-22,deepseek-r1-distill-qwen-14b,livecodebench,0.376
2026-05-22,deepseek-r1-distill-qwen-14b,math_500,0.948666666666667
2026-05-22,deepseek-r1-distill-qwen-14b,mmlu_pro,0.74
2026-05-22,deepseek-r1-distill-qwen-14b,scicode,0.239
2026-05-22,deepseek-r1-distill-qwen-32b,aime,0.686666666666667
